"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TC7 - Verify Test Cases page","chromium","2026-06-25","skipped","2026-06-25","Login tests","ui/tests/verifyPages.spec.ts","",""
"","30461","seed using loginPage fixture","chromium","2026-06-25","broken","2026-06-25","seed for logged in user","ui/tests/seed.spec.ts","",""
"","704","get started link","chromium","2026-06-25","passed","2026-06-25","","api/tests/example.spec.ts","",""
"","30438","Test Case 3: Login User with incorrect email and password:","chromium","2026-06-25","broken","2026-06-25","","ui/tests/loging.spec.ts","",""
"","587","has title","chromium","2026-06-25","passed","2026-06-25","","api/tests/example.spec.ts","",""
"","30452","Test Case 2: Login User with correct email and password","chromium","2026-06-25","broken","2026-06-25","","ui/tests/loging.spec.ts","",""
"","30471","Test Case 14: Place Order: Register while Checkout","chromium","2026-06-25","broken","2026-06-25","E2E Tests","ui/tests/E2E.spec.ts","",""
"","30431","should log out successfully","chromium","2026-06-25","broken","2026-06-25","Login Page Tests","ui/tests/loging.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-06-25","skipped","2026-06-25","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","5889","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-06-25","failed","2026-06-25","Home Page Tests.","ui/tests/home.spec.ts","",""
"","30462","Test Case 5: Register User with existing email:","chromium","2026-06-25","broken","2026-06-25","","ui/tests/signup.spec.ts","",""
"","30482","Test Case 13: Verify Product quantity in Cart","chromium","2026-06-25","broken","2026-06-25","E2E Tests","ui/tests/E2E.spec.ts","",""
"","30449","Test Case 11: Verify Subscription in Cart page","chromium","2026-06-25","broken","2026-06-25","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","5601","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-06-25","failed","2026-06-25","Home Page Tests.","ui/tests/home.spec.ts","",""
"","30462","Test Case 17: Remove Products From Cart","chromium","2026-06-25","broken","2026-06-25","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","10796","TC8 - Verify All products and product details page","chromium","2026-06-25","failed","2026-06-25","Login tests","ui/tests/verifyPages.spec.ts","",""
